variant,normalization,temporal_weight,local_weight,topology_weight,corner_weight,dataset,glyph_alphabet,corner_identity_flip_rate,glyph_flips_per_second,stroke_metric_difference,verdict
local-high,raw,1.8000,0.8250,2.4000,0.3500,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
local-high,raw,1.8000,0.8250,2.4000,0.3500,high-speed,unicode,1.0000,182.5352,0.1014,unstable
local-high,raw,1.8000,0.8250,2.4000,0.3500,bounded-jitter,unicode,0.1690,0.0000,0.0000,partially-stable
local-high,normalized,1.7079,0.7828,2.2772,0.3321,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
local-high,normalized,1.7079,0.7828,2.2772,0.3321,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
local-high,normalized,1.7079,0.7828,2.2772,0.3321,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
local-high,normalized,1.7079,0.7828,2.2772,0.3321,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
local-high,normalized,1.7079,0.7828,2.2772,0.3321,high-speed,unicode,1.0000,182.5352,0.1014,unstable
local-high,normalized,1.7079,0.7828,2.2772,0.3321,bounded-jitter,unicode,0.1690,0.0000,0.0000,partially-stable
topology-low,raw,1.8000,0.5500,1.2000,0.3500,real-orbit,unicode,0.0810,79.4366,0.0276,partially-stable
topology-low,raw,1.8000,0.5500,1.2000,0.3500,glyph-stress,unicode,0.0810,79.4366,0.0276,partially-stable
topology-low,raw,1.8000,0.5500,1.2000,0.3500,glyph-stress-ascii,ascii,0.0810,79.4366,0.0276,partially-stable
topology-low,raw,1.8000,0.5500,1.2000,0.3500,glyph-stress-degraded,degraded,0.0827,79.4366,0.0000,partially-stable
topology-low,raw,1.8000,0.5500,1.2000,0.3500,high-speed,unicode,1.0000,182.5352,0.1014,unstable
topology-low,raw,1.8000,0.5500,1.2000,0.3500,bounded-jitter,unicode,0.0000,0.0000,0.0000,partially-stable
topology-low,normalized,2.3538,0.7192,1.5692,0.4577,real-orbit,unicode,0.0810,79.4366,0.0276,partially-stable
topology-low,normalized,2.3538,0.7192,1.5692,0.4577,glyph-stress,unicode,0.0810,79.4366,0.0276,partially-stable
topology-low,normalized,2.3538,0.7192,1.5692,0.4577,glyph-stress-ascii,ascii,0.0810,79.4366,0.0276,partially-stable
topology-low,normalized,2.3538,0.7192,1.5692,0.4577,glyph-stress-degraded,degraded,0.0827,79.4366,0.0000,partially-stable
topology-low,normalized,2.3538,0.7192,1.5692,0.4577,high-speed,unicode,1.0000,182.5352,0.1014,unstable
topology-low,normalized,2.3538,0.7192,1.5692,0.4577,bounded-jitter,unicode,0.0000,0.0000,0.0000,partially-stable
topology-high,raw,1.8000,0.5500,3.6000,0.3500,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
