experiment,dirty_mode,glyph_history,budget,visual_quality_score,dirty_cell_pressure,dirty_budget_violation_rate,contrast_violation_rate,orbit_temporal_continuity,orbit_glyph_stability,orbit_motion_aliasing_pressure,glyph_flips_per_second,path_index_discontinuity_rate,corner_glyph_instability,orbit_cells_changed_per_frame,foreground_clarity,background_atmosphere,particle_spectral_quality,temporal_high_band_energy,local_flicker_discomfort,phase_coherence,stable_foreground_score,logo_color_stability
dirty-budget,luminance-threshold,path,480,79.7628,0.1435,0.0000,0.0000,0.9933,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9680,0.1518,0.4629,0.0041,0.0000,0.9881,0.9742,0.9500
dirty-budget,priority-dirty,path,480,77.3400,0.4161,0.0000,0.0000,0.9933,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9680,0.1518,0.4629,0.0041,0.0000,0.9881,0.9742,0.9500
dirty-budget,topology-only,path,480,79.7206,0.1482,0.0000,0.0000,0.9933,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9680,0.1518,0.4629,0.0041,0.0000,0.9881,0.9742,0.9500
dirty-budget,role-aware,path,480,78.4887,0.2868,0.0000,0.0000,0.9933,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9680,0.1518,0.4629,0.0041,0.0000,0.9881,0.9742,0.9500
dirty-budget,full,path,480,78.4887,0.2868,0.0000,0.0000,0.9933,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9680,0.1518,0.4629,0.0041,0.0000,0.9881,0.9742,0.9500
dirty-budget,naive,path,640,75.0230,0.3274,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9679,0.0916,0.3910,0.0050,0.0000,0.9738,0.9743,0.9500
dirty-budget,uniform-threshold,path,640,76.8191,0.1253,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9679,0.0916,0.3910,0.0050,0.0000,0.9738,0.9743,0.9500
dirty-budget,luminance-threshold,path,640,76.8449,0.1224,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9679,0.0916,0.3910,0.0050,0.0000,0.9738,0.9743,0.9500
dirty-budget,priority-dirty,path,640,75.0230,0.3274,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9679,0.0916,0.3910,0.0050,0.0000,0.9738,0.9743,0.9500
dirty-budget,topology-only,path,640,76.8191,0.1253,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9679,0.0916,0.3910,0.0050,0.0000,0.9738,0.9743,0.9500
dirty-budget,role-aware,path,640,75.8958,0.2292,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9679,0.0916,0.3910,0.0050,0.0000,0.9738,0.9743,0.9500
dirty-budget,full,path,640,75.8958,0.2292,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9679,0.0916,0.3910,0.0050,0.0000,0.9738,0.9743,0.9500
